desc,receiver_player_name,down,ydstogo,qtr,pass_location,pass_length,air_yards,yardline_100,side_of_field,complete_pass,yards_gained,touchdown,interception,passer_player_name
"(2:04) 10-B.Nix pass short right intended for 11-T.Franklin INTERCEPTED by 44-D.Knight at CIN -5. Touchback. The Replay Official reviewed the interception ruling, and the play was Upheld. The ruling on the field stands.",T.Franklin,4.0,1,2,right,short,2.0,2,CIN,0.0,0.0,0.0,1.0,B.Nix
(1:09) (Shotgun) 10-B.Nix pass short middle to 1-E.Engram to DEN 22 for 2 yards (28-J.Newton).,E.Engram,1.0,10,2,middle,short,2.0,80,DEN,1.0,2.0,0.0,0.0,B.Nix
"(:49) (No Huddle, Shotgun) 10-B.Nix pass short right to 11-T.Franklin to DEN 33 for 11 yards (20-D.Turner). Penalty on CIN-44-D.Knight, Defensive Holding, declined.",T.Franklin,2.0,8,2,right,short,11.0,78,DEN,1.0,11.0,0.0,0.0,B.Nix
(:42) (Shotgun) 10-B.Nix pass incomplete short left to 1-E.Engram.,E.Engram,1.0,10,2,left,short,2.0,67,DEN,0.0,0.0,0.0,0.0,B.Nix
(:38) (Shotgun) 10-B.Nix pass incomplete deep right to 11-T.Franklin.,T.Franklin,2.0,10,2,right,deep,27.0,67,DEN,0.0,0.0,0.0,0.0,B.Nix
(:33) (Shotgun) 10-B.Nix pass deep left to 19-M.Mims to CIN 39 for 28 yards (22-G.Stone).,M.Mims,3.0,10,2,left,deep,26.0,67,DEN,1.0,28.0,0.0,0.0,B.Nix
(:26) (Shotgun) 10-B.Nix pass short right to 28-T.Badie pushed ob at CIN 28 for 11 yards (23-D.Hill) [96-C.Sample].,T.Badie,1.0,10,2,right,short,4.0,39,CIN,1.0,11.0,0.0,0.0,B.Nix
(:21) (Shotgun) 10-B.Nix pass incomplete short middle to 28-T.Badie.,T.Badie,1.0,10,2,middle,short,4.0,28,CIN,0.0,0.0,0.0,0.0,B.Nix
"(:17) (Shotgun) 10-B.Nix pass short left to 14-C.Sutton to CIN 20 for 8 yards (44-D.Knight). Penalty on CIN-58-J.Ossai, Defensive Offside, declined.",C.Sutton,2.0,10,2,left,short,5.0,28,CIN,1.0,8.0,0.0,0.0,B.Nix
"(:13) (Shotgun) 10-B.Nix pass deep right to 14-C.Sutton for 20 yards, TOUCHDOWN.",C.Sutton,3.0,2,2,right,deep,20.0,20,CIN,1.0,20.0,1.0,0.0,B.Nix
(14:54) (Shotgun) 10-B.Nix pass short left to 19-M.Mims to DEN 38 for 8 yards (23-D.Hill).,M.Mims,1.0,10,3,left,short,-5.0,70,DEN,1.0,8.0,0.0,0.0,B.Nix
(13:36) (Shotgun) 10-B.Nix pass incomplete short right to 45-N.Adkins (23-D.Hill).,N.Adkins,1.0,10,3,right,short,-1.0,57,DEN,0.0,0.0,0.0,0.0,B.Nix
(12:52) (Shotgun) 10-B.Nix pass incomplete deep left to 1-E.Engram.,E.Engram,3.0,9,3,left,deep,48.0,56,DEN,0.0,0.0,0.0,0.0,B.Nix
"(9:36) (Shotgun) 10-B.Nix pass incomplete short middle to 14-C.Sutton. Penalty on DEN-13-P.Bryant, Offensive Offside, declined.",C.Sutton,1.0,10,3,middle,short,10.0,70,DEN,0.0,0.0,0.0,0.0,B.Nix
(9:32) (Shotgun) 10-B.Nix pass short left to 12-R.Harvey to DEN 44 for 14 yards (91-T.Hendrickson; 23-D.Hill).,R.Harvey,2.0,10,3,left,short,-1.0,70,DEN,1.0,14.0,0.0,0.0,B.Nix
(8:18) (Shotgun) 10-B.Nix pass short right to 27-J.Dobbins to DEN 33 for 4 yards (23-D.Hill; 55-L.Wilson).,J.Dobbins,1.0,25,3,right,short,-3.0,71,DEN,1.0,4.0,0.0,0.0,B.Nix
"(7:34) (Shotgun) 10-B.Nix pass short right to 1-E.Engram to DEN 40 for 7 yards (90-K.Jenkins; 27-J.Battle). Penalty on DEN-60-L.Wattenberg, Ineligible Downfield Pass, declined.",E.Engram,2.0,21,3,right,short,-4.0,67,DEN,1.0,7.0,0.0,0.0,B.Nix
(7:07) (Shotgun) 10-B.Nix pass short left to 19-M.Mims to DEN 45 for 5 yards (22-G.Stone).,M.Mims,3.0,14,3,left,short,-2.0,60,DEN,1.0,5.0,0.0,0.0,B.Nix
(2:13) 10-B.Nix pass short right to 45-N.Adkins to DEN 17 for 7 yards (23-D.Hill).,N.Adkins,2.0,7,3,right,short,2.0,90,DEN,1.0,7.0,0.0,0.0,B.Nix
(1:32) (Shotgun) 10-B.Nix pass short left to 11-T.Franklin to DEN 32 for 15 yards (49-B.Carter).,T.Franklin,1.0,10,3,left,short,-1.0,83,DEN,1.0,15.0,0.0,0.0,B.Nix
(:06) 10-B.Nix pass short left to 12-R.Harvey pushed ob at DEN 43 for 10 yards (28-J.Newton).,R.Harvey,2.0,9,3,left,short,4.0,67,DEN,1.0,10.0,0.0,0.0,B.Nix
(14:27) (Shotgun) 10-B.Nix pass incomplete deep middle to 11-T.Franklin.,T.Franklin,1.0,24,4,middle,deep,42.0,71,DEN,0.0,0.0,0.0,0.0,B.Nix
(14:21) (Shotgun) 10-B.Nix pass short left to 12-R.Harvey to DEN 33 for 4 yards (44-D.Knight).,R.Harvey,2.0,24,4,left,short,-4.0,71,DEN,1.0,4.0,0.0,0.0,B.Nix
(13:37) (Shotgun) 10-B.Nix pass short middle to 1-E.Engram to DEN 44 for 11 yards (27-J.Battle).,E.Engram,3.0,20,4,middle,short,6.0,67,DEN,1.0,11.0,0.0,0.0,B.Nix
(9:09) (Shotgun) 10-B.Nix pass short right to 19-M.Mims to CIN 44 for 12 yards (28-J.Newton; 55-L.Wilson).,M.Mims,3.0,1,4,right,short,2.0,56,DEN,1.0,12.0,0.0,0.0,B.Nix
"(5:02) (Shotgun) 10-B.Nix pass short left to 12-R.Harvey for 12 yards, TOUCHDOWN.",R.Harvey,3.0,5,4,left,short,2.0,12,CIN,1.0,12.0,1.0,0.0,B.Nix
(13:35) (Shotgun) 10-B.Nix pass incomplete deep right to 14-C.Sutton.,C.Sutton,3.0,4,1,right,deep,32.0,63,DEN,0.0,0.0,0.0,0.0,B.Nix
(10:51) (Shotgun) 10-B.Nix pass short right to 19-M.Mims to DEN 46 for 4 yards (27-Q.Mitchell).,M.Mims,1.0,10,1,right,short,4.0,58,DEN,1.0,4.0,0.0,0.0,B.Nix
(10:15) 10-B.Nix pass incomplete short right to 45-N.Adkins.,N.Adkins,2.0,6,1,right,short,1.0,54,DEN,0.0,0.0,0.0,0.0,B.Nix
"(10:10) (No Huddle, Shotgun) 10-B.Nix pass short right to 14-C.Sutton to PHI 47 for 7 yards (27-Q.Mitchell; 30-J.Campbell).",C.Sutton,3.0,6,1,right,short,7.0,54,DEN,1.0,7.0,0.0,0.0,B.Nix
"(8:30) (No Huddle, Shotgun) 10-B.Nix pass short left to 14-C.Sutton to PHI 39 for 4 yards (30-J.Campbell; 27-Q.Mitchell).",C.Sutton,3.0,6,1,left,short,3.0,43,PHI,1.0,4.0,0.0,0.0,B.Nix
"(7:01) (Shotgun) 10-B.Nix sacked at PHI 46 for -9 yards (33-C.DeJean). FUMBLES (33-C.DeJean), RECOVERED by PHI-58-J.Hunt at PHI 39. The Replay Official reviewed the fumble ruling, and the play was REVERSED. (Shotgun) 10-B.Nix pass incomplete short left to 11-T.Franklin (33-C.DeJean).",T.Franklin,2.0,13,1,left,short,-5.0,37,PHI,0.0,0.0,0.0,0.0,B.Nix
(6:57) (Shotgun) 10-B.Nix pass incomplete deep middle to 1-E.Engram [98-J.Carter].,E.Engram,3.0,13,1,middle,deep,18.0,37,PHI,0.0,0.0,0.0,0.0,B.Nix
(:20) 10-B.Nix pass deep right to 11-T.Franklin pushed ob at DEN 49 for 20 yards (7-K.Ringo) [52-Z.Smith].,T.Franklin,1.0,10,1,right,deep,19.0,71,DEN,1.0,20.0,0.0,0.0,B.Nix
(15:00) (Shotgun) 10-B.Nix pass short left to 27-J.Dobbins pushed ob at PHI 46 for 5 yards (53-Z.Baun).,J.Dobbins,1.0,10,2,left,short,-3.0,51,DEN,1.0,5.0,0.0,0.0,B.Nix
(12:44) (Shotgun) 10-B.Nix pass incomplete deep left to 5-T.Sherfield [0-J.Uche].,T.Sherfield,2.0,8,2,left,deep,32.0,34,PHI,0.0,0.0,0.0,0.0,B.Nix
"(12:38) (No Huddle, Shotgun) 10-B.Nix sacked at PHI 47 for -13 yards (52-Z.Smith).",,3.0,8,2,,,,34,PHI,0.0,-13.0,0.0,0.0,B.Nix
(7:15) (Shotgun) 10-B.Nix pass short left to 5-T.Sherfield to DEN 34 for 15 yards (7-K.Ringo).,T.Sherfield,1.0,10,2,left,short,6.0,81,DEN,1.0,15.0,0.0,0.0,B.Nix
(6:39) (Shotgun) 10-B.Nix pass short right to 12-R.Harvey to DEN 40 for 6 yards (7-K.Ringo).,R.Harvey,1.0,10,2,right,short,6.0,66,DEN,1.0,6.0,0.0,0.0,B.Nix
"(5:03) (No Huddle, Shotgun) 10-B.Nix pass incomplete short middle to 1-E.Engram [13-A.Ojulari].",E.Engram,3.0,8,2,middle,short,-4.0,64,DEN,0.0,0.0,0.0,0.0,B.Nix
(2:18) (Shotgun) 10-B.Nix pass incomplete short left.,,1.0,10,2,left,short,-4.0,80,DEN,0.0,0.0,0.0,0.0,B.Nix
(2:12) (Shotgun) 10-B.Nix pass short right to 28-T.Badie to DEN 36 for 16 yards (32-R.Blankenship).,T.Badie,2.0,10,2,right,short,-6.0,80,DEN,1.0,16.0,0.0,0.0,B.Nix
(2:00) (Shotgun) 10-B.Nix pass short right to 11-T.Franklin to DEN 41 for 5 yards (30-J.Campbell; 52-Z.Smith).,T.Franklin,1.0,10,2,right,short,-1.0,64,DEN,1.0,5.0,0.0,0.0,B.Nix
"(1:36) (No Huddle, Shotgun) 10-B.Nix pass incomplete short middle to 28-T.Badie.",T.Badie,2.0,5,2,middle,short,4.0,59,DEN,0.0,0.0,0.0,0.0,B.Nix
(1:32) (Shotgun) 10-B.Nix pass incomplete deep left to 11-T.Franklin.,T.Franklin,3.0,5,2,left,deep,44.0,59,DEN,0.0,0.0,0.0,0.0,B.Nix
(:52) (Shotgun) 10-B.Nix pass short right to 1-E.Engram to DEN 41 for -3 yards (33-C.DeJean).,E.Engram,1.0,10,2,right,short,-4.0,56,DEN,1.0,-3.0,0.0,0.0,B.Nix
"(:28) (No Huddle, Shotgun) 10-B.Nix pass incomplete short left to 14-C.Sutton (27-Q.Mitchell).",C.Sutton,2.0,13,2,left,short,10.0,59,DEN,0.0,0.0,0.0,0.0,B.Nix
(:21) (Shotgun) 10-B.Nix pass incomplete deep right to 19-M.Mims.,M.Mims,3.0,13,2,right,deep,49.0,59,DEN,0.0,0.0,0.0,0.0,B.Nix
(12:35) (Shotgun) 10-B.Nix pass short right to 12-R.Harvey pushed ob at DEN 27 for 11 yards (30-J.Campbell).,R.Harvey,2.0,12,3,right,short,2.0,84,DEN,1.0,11.0,0.0,0.0,B.Nix
"(8:21) (Shotgun) 10-B.Nix pass incomplete short right [53-Z.Baun]. PENALTY on DEN-10-B.Nix, Intentional Grounding, 13 yards, enforced at PHI 35.",,2.0,8,3,right,short,-5.0,35,PHI,0.0,0.0,0.0,0.0,B.Nix
(8:16) (Shotgun) 10-B.Nix pass short right to 19-M.Mims to PHI 42 for 6 yards (53-Z.Baun).,M.Mims,3.0,21,3,right,short,3.0,48,PHI,1.0,6.0,0.0,0.0,B.Nix
(3:56) (Shotgun) 10-B.Nix pass incomplete short right to 19-M.Mims.,M.Mims,3.0,2,3,right,short,2.0,72,DEN,0.0,0.0,0.0,0.0,B.Nix
(2:38) (Shotgun) 10-B.Nix pass short right to 1-E.Engram pushed ob at DEN 43 for 7 yards (30-J.Campbell).,E.Engram,1.0,10,3,right,short,0.0,64,DEN,1.0,7.0,0.0,0.0,B.Nix
(1:29) (Shotgun) 10-B.Nix pass incomplete deep right to 19-M.Mims.,M.Mims,1.0,10,3,right,deep,27.0,52,DEN,0.0,0.0,0.0,0.0,B.Nix
"(:44) (No Huddle, Shotgun) 10-B.Nix pass short right to 14-C.Sutton to PHI 38 for 6 yards (27-Q.Mitchell).",C.Sutton,3.0,2,3,right,short,6.0,44,PHI,1.0,6.0,0.0,0.0,B.Nix
(:07) (Shotgun) 10-B.Nix pass short left to 14-C.Sutton to PHI 32 for 6 yards (33-C.DeJean).,C.Sutton,1.0,10,3,left,short,5.0,38,PHI,1.0,6.0,0.0,0.0,B.Nix
(14:23) (Shotgun) 10-B.Nix pass short left to 11-T.Franklin ran ob at PHI 9 for 10 yards (24-A.Mukuba).,T.Franklin,1.0,10,4,left,short,9.0,19,PHI,1.0,10.0,0.0,0.0,B.Nix
(11:08) (Shotgun) 10-B.Nix pass deep left to 1-E.Engram to DEN 46 for 18 yards (7-K.Ringo). ** Injury Update: DEN-69-M.McGlinchey has returned to the game.,E.Engram,1.0,10,4,left,deep,16.0,72,DEN,1.0,18.0,0.0,0.0,B.Nix
"(10:36) (No Huddle, Shotgun) 10-B.Nix pass short left to 14-C.Sutton to PHI 40 for 14 yards (27-Q.Mitchell).",C.Sutton,1.0,10,4,left,short,11.0,54,DEN,1.0,14.0,0.0,0.0,B.Nix
(8:17) (Shotgun) 10-B.Nix pass short right to 14-C.Sutton to PHI 11 for 34 yards (53-Z.Baun).,C.Sutton,3.0,15,4,right,short,15.0,45,PHI,1.0,34.0,0.0,0.0,B.Nix
"(7:43) (No Huddle) 10-B.Nix pass short middle to 1-E.Engram for 11 yards, TOUCHDOWN.",E.Engram,1.0,10,4,middle,short,3.0,11,PHI,1.0,11.0,1.0,0.0,B.Nix
TWO-POINT CONVERSION ATTEMPT. 10-B.Nix pass to 11-T.Franklin is complete. ATTEMPT SUCCEEDS.,T.Franklin,,0,4,,,,2,PHI,0.0,2.0,0.0,0.0,B.Nix
(5:00) 10-B.Nix pass short left to 82-A.Trautman to DEN 43 for 11 yards (53-Z.Baun; 33-C.DeJean).,A.Trautman,1.0,10,4,left,short,3.0,68,DEN,1.0,11.0,0.0,0.0,B.Nix
(3:34) 10-B.Nix pass incomplete short right [58-J.Hunt].,,2.0,6,4,right,short,-3.0,53,DEN,0.0,0.0,0.0,0.0,B.Nix
(3:28) (Shotgun) 10-B.Nix pass short right to 14-C.Sutton to PHI 37 for 16 yards (27-Q.Mitchell).,C.Sutton,3.0,6,4,right,short,13.0,53,DEN,1.0,16.0,0.0,0.0,B.Nix
(2:34) (Shotgun) 10-B.Nix pass short middle to 14-C.Sutton to PHI 29 for 12 yards (53-Z.Baun).,C.Sutton,2.0,14,4,middle,short,5.0,41,PHI,1.0,12.0,0.0,0.0,B.Nix
"(2:27) 10-B.Nix pass short right to 12-R.Harvey to PHI 28 for 1 yard (24-A.Mukuba). PENALTY on PHI-53-Z.Baun, Unnecessary Roughness, 14 yards, enforced at PHI 28.",R.Harvey,3.0,2,4,right,short,-2.0,29,PHI,1.0,1.0,0.0,0.0,B.Nix
(2:00) (Shotgun) 63-A.Palczewski reported in as eligible. 10-B.Nix sacked at PHI 13 for -1 yards (53-Z.Baun).,,3.0,8,4,,,,12,PHI,0.0,-1.0,0.0,0.0,B.Nix
"(13:38) (Shotgun) 10-B.Nix pass short right to 11-T.Franklin to DEN 32 for 7 yards (29-J.Brownlee) [44-J.Sherwood]. FUMBLES (29-J.Brownlee), RECOVERED by NYJ-8-A.Cisco at DEN 37.",T.Franklin,3.0,7,1,right,short,5.0,75,DEN,1.0,7.0,0.0,0.0,B.Nix
(10:54) (Shotgun) 10-B.Nix pass short left to 45-N.Adkins to DEN 45 for 7 yards (44-J.Sherwood).,N.Adkins,1.0,10,1,left,short,5.0,62,DEN,1.0,7.0,0.0,0.0,B.Nix
(10:19) 10-B.Nix pass incomplete short right [9-W.McDonald].,,2.0,3,1,right,short,2.0,55,DEN,0.0,0.0,0.0,0.0,B.Nix
(10:13) (Shotgun) 10-B.Nix pass short left to 13-P.Bryant to NYJ 44 for 11 yards (8-A.Cisco).,P.Bryant,3.0,3,1,left,short,5.0,55,DEN,1.0,11.0,0.0,0.0,B.Nix
"(9:18) (Shotgun) 10-B.Nix pass short right to 1-E.Engram to 50 for -1 yards (29-J.Brownlee, 51-F.Mauigoa).",E.Engram,1.0,15,1,right,short,-2.0,49,NYJ,1.0,-1.0,0.0,0.0,B.Nix
(8:01) (Shotgun) 10-B.Nix pass short right to 12-R.Harvey to NYJ 39 for 9 yards (95-Q.Williams; 26-I.Oliver).,R.Harvey,3.0,14,1,right,short,4.0,48,NYJ,1.0,9.0,0.0,0.0,B.Nix
(4:50) (Shotgun) 10-B.Nix pass short right to 14-C.Sutton to DEN 48 for 17 yards (1-A.Gardner).,C.Sutton,1.0,10,1,right,short,15.0,69,DEN,1.0,17.0,0.0,0.0,B.Nix
(3:06) (Shotgun) 10-B.Nix pass short right to 12-R.Harvey to DEN 42 for 4 yards (44-J.Sherwood; 51-F.Mauigoa).,R.Harvey,2.0,20,1,right,short,-6.0,62,DEN,1.0,4.0,0.0,0.0,B.Nix
(1:42) (Shotgun) 10-B.Nix pass short right to 1-E.Engram pushed ob at NYJ 36 for 11 yards (44-J.Sherwood).,E.Engram,4.0,5,1,right,short,5.0,47,NYJ,1.0,11.0,0.0,0.0,B.Nix
(1:06) 63-A.Palczewski reported in as eligible. 10-B.Nix pass incomplete short right to 14-C.Sutton (1-A.Gardner).,C.Sutton,1.0,10,1,right,short,6.0,36,NYJ,0.0,0.0,0.0,0.0,B.Nix
(1:03) (Shotgun) 10-B.Nix pass short left to 19-M.Mims pushed ob at NYJ 32 for 4 yards (1-A.Gardner).,M.Mims,2.0,10,1,left,short,-4.0,36,NYJ,1.0,4.0,0.0,0.0,B.Nix
"(:36) (No Huddle, Shotgun) 10-B.Nix pass short left to 1-E.Engram to NYJ 16 for 16 yards (44-J.Sherwood).",E.Engram,3.0,6,1,left,short,12.0,32,NYJ,1.0,16.0,0.0,0.0,B.Nix
"(:02) (No Huddle, Shotgun) 10-B.Nix pass short right to 45-N.Adkins for 16 yards, TOUCHDOWN.",N.Adkins,1.0,10,1,right,short,12.0,16,NYJ,1.0,16.0,1.0,0.0,B.Nix
(13:24) 10-B.Nix pass incomplete deep middle to 19-M.Mims.,M.Mims,1.0,10,2,middle,deep,61.0,79,DEN,0.0,0.0,0.0,0.0,B.Nix
"(12:41) (No Huddle, Shotgun) 10-B.Nix pass short left to 1-E.Engram to DEN 32 for 4 yards (8-A.Cisco).",E.Engram,3.0,3,2,left,short,3.0,72,DEN,1.0,4.0,0.0,0.0,B.Nix
(11:23) (Shotgun) 10-B.Nix pass short left to 11-T.Franklin to DEN 40 for 7 yards (9-W.McDonald). NYJ-78-J.Tufele was injured during the play.,T.Franklin,2.0,9,2,left,short,0.0,67,DEN,1.0,7.0,0.0,0.0,B.Nix
(9:36) (Shotgun) 63-A.Palczewski reported in as eligible. 10-B.Nix pass incomplete short middle to 11-T.Franklin.,T.Franklin,2.0,5,2,middle,short,14.0,49,NYJ,0.0,0.0,0.0,0.0,B.Nix
(9:32) (Shotgun) 10-B.Nix pass incomplete short right to 27-J.Dobbins.,J.Dobbins,3.0,5,2,right,short,-4.0,49,NYJ,0.0,0.0,0.0,0.0,B.Nix
(7:45) 10-B.Nix pass short right to 11-T.Franklin pushed ob at DEN 46 for 5 yards (29-J.Brownlee).,T.Franklin,1.0,10,2,right,short,1.0,59,DEN,1.0,5.0,0.0,0.0,B.Nix
(4:17) (Shotgun) 10-B.Nix pass short right to 12-R.Harvey to NYJ 45 for 8 yards (27-M.Moore; 26-I.Oliver).,R.Harvey,3.0,15,2,right,short,-6.0,53,DEN,1.0,8.0,0.0,0.0,B.Nix
"(9:04) 10-B.Nix pass incomplete short right to 38-J.McLaughlin. Penalty on DEN-77-Q.Meinerz, Ineligible Downfield Pass, declined.",J.McLaughlin,3.0,4,3,right,short,-5.0,71,DEN,0.0,0.0,0.0,0.0,B.Nix
(2:41) (Shotgun) 10-B.Nix pass incomplete short middle.,,1.0,10,3,middle,short,7.0,82,DEN,0.0,0.0,0.0,0.0,B.Nix
"(13:46) (No Huddle, Shotgun) 10-B.Nix pass incomplete short middle to 1-E.Engram (44-J.Sherwood).",E.Engram,3.0,6,4,middle,short,1.0,71,DEN,0.0,0.0,0.0,0.0,B.Nix
(10:16) (Shotgun) 10-B.Nix pass incomplete short right.,,1.0,10,4,right,short,4.0,74,DEN,0.0,0.0,0.0,0.0,B.Nix
(10:09) (Shotgun) 63-A.Palczewski reported in as eligible. 10-B.Nix pass short left to 1-E.Engram to DEN 38 for 12 yards (8-A.Cisco).,E.Engram,2.0,10,4,left,short,11.0,74,DEN,1.0,12.0,0.0,0.0,B.Nix
(8:55) (Shotgun) 10-B.Nix pass short right to 12-R.Harvey to DEN 40 for no gain (21-B.Stephens; 44-J.Sherwood).,R.Harvey,2.0,8,4,right,short,-5.0,60,DEN,1.0,0.0,0.0,0.0,B.Nix
(8:15) (Shotgun) 10-B.Nix pass short left to 19-M.Mims pushed ob at NYJ 34 for 26 yards (8-A.Cisco).,M.Mims,3.0,8,4,left,short,2.0,60,DEN,1.0,26.0,0.0,0.0,B.Nix
"(6:43) (No Huddle, Shotgun) 10-B.Nix pass short right to 13-P.Bryant to NYJ 9 for 11 yards (26-I.Oliver).",P.Bryant,1.0,10,4,right,short,5.0,20,NYJ,1.0,11.0,0.0,0.0,B.Nix
(6:03) 63-A.Palczewski reported in as eligible. 10-B.Nix pass incomplete short left.,,1.0,9,4,left,short,-4.0,9,NYJ,0.0,0.0,0.0,0.0,B.Nix
(5:14) (Shotgun) 10-B.Nix pass incomplete short left to 14-C.Sutton.,C.Sutton,3.0,9,4,left,short,9.0,9,NYJ,0.0,0.0,0.0,0.0,B.Nix
(3:19) (Shotgun) 10-B.Nix sacked at DEN 11 for -6 yards (11-J.Johnson).,,3.0,9,4,,,,83,DEN,0.0,-6.0,0.0,0.0,B.Nix
(12:45) (Shotgun) 10-B.Nix pass incomplete short left to 13-P.Bryant.,P.Bryant,1.0,10,1,left,short,5.0,80,DEN,0.0,0.0,0.0,0.0,B.Nix
(12:42) (Shotgun) 10-B.Nix pass incomplete short left to 14-C.Sutton.,C.Sutton,2.0,10,1,left,short,9.0,80,DEN,0.0,0.0,0.0,0.0,B.Nix
(12:38) (Shotgun) 10-B.Nix pass incomplete deep right to 11-T.Franklin.,T.Franklin,3.0,10,1,right,deep,43.0,80,DEN,0.0,0.0,0.0,0.0,B.Nix
(11:08) (Shotgun) 10-B.Nix pass incomplete short right to 1-E.Engram.,E.Engram,1.0,10,1,right,short,1.0,85,DEN,0.0,0.0,0.0,0.0,B.Nix
(9:18) (Shotgun) 10-B.Nix pass short left to 14-C.Sutton to DEN 36 for 9 yards (21-P.Adebo).,C.Sutton,3.0,11,1,left,short,9.0,73,DEN,1.0,9.0,0.0,0.0,B.Nix
(6:13) (Shotgun) 10-B.Nix pass short right to 19-M.Mims ran ob at DEN 19 for 13 yards (27-T.Nubin).,M.Mims,2.0,10,1,right,short,-5.0,94,DEN,1.0,13.0,0.0,0.0,B.Nix
(3:31) (Shotgun) 10-B.Nix sacked at DEN 24 for -8 yards (0-B.Burns).,,1.0,10,1,,,,68,DEN,0.0,-8.0,0.0,0.0,B.Nix
(2:49) (Shotgun) 10-B.Nix pass short left to 19-M.Mims to DEN 24 for no gain (22-A.Phillips).,M.Mims,2.0,18,1,left,short,-4.0,76,DEN,1.0,0.0,0.0,0.0,B.Nix
(2:12) (Shotgun) 10-B.Nix pass incomplete deep right to 11-T.Franklin.,T.Franklin,3.0,18,1,right,deep,40.0,76,DEN,0.0,0.0,0.0,0.0,B.Nix
(1:00) (Shotgun) 10-B.Nix pass short left to 45-N.Adkins pushed ob at DEN 37 for 5 yards (21-P.Adebo).,N.Adkins,1.0,10,1,left,short,3.0,68,DEN,1.0,5.0,0.0,0.0,B.Nix
(15:00) (Shotgun) 10-B.Nix pass incomplete short left to 14-C.Sutton (97-D.Lawrence).,C.Sutton,3.0,6,2,left,short,4.0,64,DEN,0.0,0.0,0.0,0.0,B.Nix
(8:10) (Shotgun) 10-B.Nix pass short middle to 45-N.Adkins to NYG 49 for 15 yards (53-D.Muasau). NYG-8-J.Holland was injured during the play.,N.Adkins,2.0,9,2,middle,short,4.0,64,DEN,1.0,15.0,0.0,0.0,B.Nix
(7:41) (Shotgun) 10-B.Nix pass short middle to 13-P.Bryant to NYG 43 for 6 yards (22-A.Phillips).,P.Bryant,1.0,10,2,middle,short,5.0,49,NYG,1.0,6.0,0.0,0.0,B.Nix
(6:44) (Shotgun) 10-B.Nix pass incomplete short right to 45-N.Adkins.,N.Adkins,3.0,3,2,right,short,0.0,42,NYG,0.0,0.0,0.0,0.0,B.Nix
(5:58) (Shotgun) 10-B.Nix pass incomplete deep middle to 19-M.Mims (28-C.Flott) [95-R.Robertson-Harris].,M.Mims,1.0,10,2,middle,deep,38.0,39,NYG,0.0,0.0,0.0,0.0,B.Nix
(5:13) (Shotgun) 10-B.Nix pass deep right to 14-C.Sutton to NYG 5 for 32 yards (24-D.Belton; 28-C.Flott).,C.Sutton,3.0,8,2,right,deep,17.0,37,NYG,1.0,32.0,0.0,0.0,B.Nix
(3:49) 72-G.Bolles reported in as eligible. 10-B.Nix pass incomplete short left to 72-G.Bolles (52-V.Dimukeje) [95-R.Robertson-Harris].,G.Bolles,2.0,2,2,left,short,2.0,2,NYG,0.0,0.0,0.0,0.0,B.Nix
(3:44) (Shotgun) 10-B.Nix pass incomplete short right to 11-T.Franklin. ** Injury Update: NYG-51-A.Carter has returned to the game.,T.Franklin,3.0,2,2,right,short,2.0,2,NYG,0.0,0.0,0.0,0.0,B.Nix
(3:39) (Shotgun) 10-B.Nix pass short right to 14-C.Sutton to NYG 1 for 1 yard (24-D.Belton).,C.Sutton,4.0,2,2,right,short,-3.0,2,NYG,1.0,1.0,0.0,0.0,B.Nix
(1:04) (Shotgun) 10-B.Nix pass short left to 1-E.Engram to DEN 25 for 1 yard (27-T.Nubin). ** Injury Update: NYG-8-J.Holland has returned to the game.,E.Engram,1.0,10,2,left,short,1.0,76,DEN,1.0,1.0,0.0,0.0,B.Nix
(:31) (Shotgun) 10-B.Nix sacked at DEN 14 for -6 yards (0-B.Burns).,,2.0,14,2,,,,80,DEN,0.0,-6.0,0.0,0.0,B.Nix
(14:20) (Shotgun) 10-B.Nix pass short right to 14-C.Sutton to DEN 37 for 7 yards (21-P.Adebo).,C.Sutton,2.0,7,3,right,short,7.0,70,DEN,1.0,7.0,0.0,0.0,B.Nix
"(13:44) (No Huddle, Shotgun) 10-B.Nix pass incomplete deep left to 11-T.Franklin (28-C.Flott).",T.Franklin,1.0,10,3,left,deep,18.0,63,DEN,0.0,0.0,0.0,0.0,B.Nix
"(12:57) (No Huddle, Shotgun) 10-B.Nix pass incomplete deep right to 11-T.Franklin.",T.Franklin,3.0,5,3,right,deep,42.0,58,DEN,0.0,0.0,0.0,0.0,B.Nix
(6:22) (Shotgun) 10-B.Nix pass incomplete short left to 13-P.Bryant (93-R.Nunez-Roches).,P.Bryant,2.0,11,3,left,short,6.0,89,DEN,0.0,0.0,0.0,0.0,B.Nix
"(6:19) (No Huddle, Shotgun) 10-B.Nix pass incomplete short left to 1-E.Engram.",E.Engram,3.0,11,3,left,short,4.0,89,DEN,0.0,0.0,0.0,0.0,B.Nix
"(1:25) (No Huddle, Shotgun) 10-B.Nix pass deep left to 14-C.Sutton pushed ob at NYG 48 for 16 yards (2-D.Banks).",C.Sutton,1.0,10,3,left,deep,17.0,64,DEN,1.0,16.0,0.0,0.0,B.Nix
