desc,receiver_player_name,down,ydstogo,qtr,pass_location,pass_length,air_yards,yardline_100,side_of_field,complete_pass,yards_gained,touchdown,interception,passer_player_name
(6:23) 10-B.Nix pass short right to 5-T.Sherfield to TEN 15 for 3 yards (39-D.Baker).,T.Sherfield,1.0,10,3,right,short,-2.0,18,TEN,1.0,3.0,0.0,0.0,B.Nix
(5:46) (Shotgun) 10-B.Nix pass short middle to 14-C.Sutton to TEN 10 for 5 yards (50-C.Barton).,C.Sutton,2.0,7,3,middle,short,5.0,15,TEN,1.0,5.0,0.0,0.0,B.Nix
(2:27) 10-B.Nix pass incomplete short middle [7-F.Oladejo].,,1.0,10,3,middle,short,-5.0,69,DEN,0.0,0.0,0.0,0.0,B.Nix
(1:42) (Shotgun) 10-B.Nix pass short right to 1-E.Engram to DEN 43 for 10 yards (7-F.Oladejo; 39-D.Baker).,E.Engram,3.0,8,3,right,short,4.0,67,DEN,1.0,10.0,0.0,0.0,B.Nix
(:21) (Shotgun) 10-B.Nix pass incomplete deep left to 14-C.Sutton (29-J.Brownlee).,C.Sutton,2.0,10,3,left,deep,19.0,57,DEN,0.0,0.0,0.0,0.0,B.Nix
(:17) (Shotgun) 10-B.Nix pass short right to 46-A.Prentice to DEN 47 for 4 yards (39-D.Baker).,A.Prentice,3.0,10,3,right,short,0.0,57,DEN,1.0,4.0,0.0,0.0,B.Nix
(8:24) (Shotgun) 10-B.Nix pass short left to 14-C.Sutton to TEN 19 for 6 yards (28-Q.Diggs). ** Injury Update: TEN-39-D.Baker has returned to the game.,C.Sutton,2.0,5,4,left,short,3.0,25,TEN,1.0,6.0,0.0,0.0,B.Nix
(6:35) (Shotgun) 10-B.Nix pass incomplete short middle to 11-T.Franklin.,T.Franklin,1.0,10,4,middle,short,14.0,63,DEN,0.0,0.0,0.0,0.0,B.Nix
"(5:48) (Shotgun) 10-B.Nix pass short left to 14-C.Sutton to DEN 47 for 9 yards (21-R.McCreary). Tennessee challenged the first down ruling, and the play was REVERSED. (Shotgun) 10-B.Nix pass short left to 14-C.Sutton to DEN 46 for 8 yards (21-R.McCreary).",C.Sutton,3.0,9,4,left,short,6.0,62,DEN,1.0,8.0,0.0,0.0,B.Nix
"(3:26) (Shotgun) 10-B.Nix pass short left to 11-T.Franklin to DEN 33 for 15 yards (33-C.Gray). PENALTY on TEN-37-A.Hooker, Face Mask, 15 yards, enforced at DEN 33.",T.Franklin,1.0,10,4,left,short,-3.0,82,DEN,1.0,15.0,0.0,0.0,B.Nix
"(3:13) 10-B.Nix pass short right to 27-J.Dobbins to TEN 41 for 8 yards (50-C.Barton). PENALTY on DEN-5-T.Sherfield, Offensive Holding, 10 yards, enforced at TEN 46.",J.Dobbins,2.0,7,4,right,short,-1.0,49,TEN,1.0,3.0,0.0,0.0,B.Nix
"(2:58) (Shotgun) 10-B.Nix pass short right to 19-M.Mims to DEN 47 for -1 yards (50-C.Barton). PENALTY on TEN-98-J.Simmons, Unnecessary Roughness, 15 yards, enforced at DEN 47.",M.Mims,3.0,10,4,right,short,-3.0,52,DEN,1.0,-1.0,0.0,0.0,B.Nix
(1:05) 63-A.Palczewski reported in as eligible. 10-B.Nix pass incomplete deep right to 19-M.Mims.,M.Mims,4.0,8,4,right,deep,30.0,36,TEN,0.0,0.0,0.0,0.0,B.Nix
(9:53) 10-B.Nix pass short middle to 82-A.Trautman to IND 35 for 1 yard (48-J.Bachie).,A.Trautman,1.0,10,1,middle,short,1.0,36,IND,1.0,1.0,0.0,0.0,B.Nix
"(9:13) (No Huddle, Shotgun) 10-B.Nix pass short left to 13-P.Bryant to IND 23 for 12 yards (44-Z.Franklin).",P.Bryant,2.0,9,1,left,short,5.0,35,IND,1.0,12.0,0.0,0.0,B.Nix
"(8:30) (Shotgun) 10-B.Nix pass deep left to 19-M.Mims for 23 yards, TOUCHDOWN.",M.Mims,1.0,10,1,left,deep,23.0,23,IND,1.0,23.0,1.0,0.0,B.Nix
(2:56) (Shotgun) 10-B.Nix pass incomplete deep right to 14-C.Sutton.,C.Sutton,3.0,3,1,right,deep,19.0,58,DEN,0.0,0.0,0.0,0.0,B.Nix
(14:05) (Shotgun) 10-B.Nix pass short left to 11-T.Franklin to DEN 30 for -3 yards (23-K.Moore).,T.Franklin,1.0,10,2,left,short,-3.0,67,DEN,1.0,-3.0,0.0,0.0,B.Nix
"(13:39) (No Huddle, Shotgun) 10-B.Nix pass deep left to 11-T.Franklin ran ob at IND 28 for 42 yards.",T.Franklin,2.0,13,2,left,deep,37.0,70,DEN,1.0,42.0,0.0,0.0,B.Nix
(12:29) 10-B.Nix pass short right to 82-A.Trautman to IND 18 for 7 yards (29-M.Blackmon).,A.Trautman,2.0,7,2,right,short,4.0,25,IND,1.0,7.0,0.0,0.0,B.Nix
