desc,play_type,qtr,ydstogo,ydsnet,yardline_100,half_seconds_remaining,quarter_seconds_remaining,game_half
"(3:13) 10-B.Nix pass short right to 27-J.Dobbins to TEN 41 for 8 yards (50-C.Barton). PENALTY on DEN-5-T.Sherfield, Offensive Holding, 10 yards, enforced at TEN 46.",pass,4,7,58,49,193,193,Half2
"(2:58) (Shotgun) 10-B.Nix pass short right to 19-M.Mims to DEN 47 for -1 yards (50-C.Barton). PENALTY on TEN-98-J.Simmons, Unnecessary Roughness, 15 yards, enforced at DEN 47.",pass,4,10,58,52,178,178,Half2
(1:05) 63-A.Palczewski reported in as eligible. 10-B.Nix pass incomplete deep right to 19-M.Mims.,pass,4,8,58,36,65,65,Half2
(9:53) 10-B.Nix pass short middle to 82-A.Trautman to IND 35 for 1 yard (48-J.Bachie).,pass,1,10,64,36,1493,593,Half1
"(9:13) (No Huddle, Shotgun) 10-B.Nix pass short left to 13-P.Bryant to IND 23 for 12 yards (44-Z.Franklin).",pass,1,9,64,35,1453,553,Half1
"(8:30) (Shotgun) 10-B.Nix pass deep left to 19-M.Mims for 23 yards, TOUCHDOWN.",pass,1,10,64,23,1410,510,Half1
(2:56) (Shotgun) 10-B.Nix pass incomplete deep right to 14-C.Sutton.,pass,1,3,7,58,1076,176,Half1
(14:05) (Shotgun) 10-B.Nix pass short left to 11-T.Franklin to DEN 30 for -3 yards (23-K.Moore).,pass,2,10,67,67,845,845,Half1
"(13:39) (No Huddle, Shotgun) 10-B.Nix pass deep left to 11-T.Franklin ran ob at IND 28 for 42 yards.",pass,2,13,67,70,819,819,Half1
(12:29) 10-B.Nix pass short right to 82-A.Trautman to IND 18 for 7 yards (29-M.Blackmon).,pass,2,7,67,25,749,749,Half1
(11:50) (Shotgun) 10-B.Nix pass short left to 11-T.Franklin to IND 2 for 16 yards (0-C.Bynum).,pass,2,10,67,18,710,710,Half1
"(10:46) 10-B.Nix pass short right to 11-T.Franklin for 3 yards, TOUCHDOWN.",pass,2,3,67,3,646,646,Half1
"(7:04) (No Huddle, Shotgun) 10-B.Nix pass short middle to 5-T.Sherfield to IND 36 for 3 yards (48-J.Bachie).",pass,2,10,50,39,424,424,Half1
"(5:49) (Shotgun) 10-B.Nix pass short left to 13-P.Bryant to IND 29 for 6 yards (20-N.Cross; 4-X.Howard). Indianapolis challenged the first down ruling, and the play was Upheld. The ruling on the field stands. (Timeout #1.)",pass,2,6,50,35,349,349,Half1
(5:19) (Shotgun) 10-B.Nix pass short left to 11-T.Franklin to IND 26 for 3 yards (20-N.Cross; 4-X.Howard).,pass,2,10,50,29,319,319,Half1
(4:45) (Shotgun) 10-B.Nix pass incomplete short right to 27-J.Dobbins (44-Z.Franklin).,pass,2,7,50,26,285,285,Half1
(3:52) (Shotgun) 10-B.Nix pass incomplete short right to 14-C.Sutton.,pass,2,3,50,3,232,232,Half1
"(3:06) (Shotgun) 63-A.Palczewski reported in as eligible. 10-B.Nix pass short right to 82-A.Trautman for 2 yards, TOUCHDOWN.",pass,2,2,50,2,186,186,Half1
(1:25) (Shotgun) 10-B.Nix pass short middle to 11-T.Franklin to DEN 36 for 4 yards (20-N.Cross).,pass,2,10,4,68,85,85,Half1
"(1:00) (No Huddle, Shotgun) 10-B.Nix pass short left to 28-T.Badie to DEN 36 for no gain (44-Z.Franklin).",pass,2,6,4,64,60,60,Half1
"(:33) (No Huddle, Shotgun) 10-B.Nix pass incomplete deep middle to 11-T.Franklin.",pass,2,6,4,64,33,33,Half1
(14:18) (Shotgun) 10-B.Nix pass short right to 19-M.Mims to DEN 46 for 1 yard (20-N.Cross).,pass,3,5,60,55,1758,858,Half2
"(13:13) (No Huddle, Shotgun) 10-B.Nix pass short left to 14-C.Sutton to IND 30 for 6 yards (4-X.Howard).",pass,3,10,60,36,1693,793,Half2
