desc,play_type,qtr,ydstogo,ydsnet,yardline_100,half_seconds_remaining,quarter_seconds_remaining,game_half
(8:17) (Shotgun) 10-B.Nix pass short right to 14-C.Sutton to PHI 11 for 34 yards (53-Z.Baun).,pass,4,15,72,45,497,497,Half2
"(7:43) (No Huddle) 10-B.Nix pass short middle to 1-E.Engram for 11 yards, TOUCHDOWN.",pass,4,10,72,11,463,463,Half2
TWO-POINT CONVERSION ATTEMPT. 10-B.Nix pass to 11-T.Franklin is complete. ATTEMPT SUCCEEDS.,pass,4,0,72,2,456,456,Half2
(5:00) 10-B.Nix pass short left to 82-A.Trautman to DEN 43 for 11 yards (53-Z.Baun; 33-C.DeJean).,pass,4,10,50,68,300,300,Half2
(3:34) 10-B.Nix pass incomplete short right [58-J.Hunt].,pass,4,6,50,53,214,214,Half2
(3:28) (Shotgun) 10-B.Nix pass short right to 14-C.Sutton to PHI 37 for 16 yards (27-Q.Mitchell).,pass,4,6,50,53,208,208,Half2
(2:34) (Shotgun) 10-B.Nix pass short middle to 14-C.Sutton to PHI 29 for 12 yards (53-Z.Baun).,pass,4,14,50,41,154,154,Half2
"(2:27) 10-B.Nix pass short right to 12-R.Harvey to PHI 28 for 1 yard (24-A.Mukuba). PENALTY on PHI-53-Z.Baun, Unnecessary Roughness, 14 yards, enforced at PHI 28.",pass,4,2,50,29,147,147,Half2
(2:00) (Shotgun) 63-A.Palczewski reported in as eligible. 10-B.Nix sacked at PHI 13 for -1 yards (53-Z.Baun).,pass,4,8,50,12,120,120,Half2
"(13:38) (Shotgun) 10-B.Nix pass short right to 11-T.Franklin to DEN 32 for 7 yards (29-J.Brownlee) [44-J.Sherwood]. FUMBLES (29-J.Brownlee), RECOVERED by NYJ-8-A.Cisco at DEN 37.",pass,1,7,10,75,1718,818,Half1
(10:54) (Shotgun) 10-B.Nix pass short left to 45-N.Adkins to DEN 45 for 7 yards (44-J.Sherwood).,pass,1,10,23,62,1554,654,Half1
(10:19) 10-B.Nix pass incomplete short right [9-W.McDonald].,pass,1,3,23,55,1519,619,Half1
(10:13) (Shotgun) 10-B.Nix pass short left to 13-P.Bryant to NYJ 44 for 11 yards (8-A.Cisco).,pass,1,3,23,55,1513,613,Half1
"(9:18) (Shotgun) 10-B.Nix pass short right to 1-E.Engram to 50 for -1 yards (29-J.Brownlee, 51-F.Mauigoa).",pass,1,15,23,49,1458,558,Half1
(8:01) (Shotgun) 10-B.Nix pass short right to 12-R.Harvey to NYJ 39 for 9 yards (95-Q.Williams; 26-I.Oliver).,pass,1,14,23,48,1381,481,Half1
(4:50) (Shotgun) 10-B.Nix pass short right to 14-C.Sutton to DEN 48 for 17 yards (1-A.Gardner).,pass,1,10,69,69,1190,290,Half1
(3:06) (Shotgun) 10-B.Nix pass short right to 12-R.Harvey to DEN 42 for 4 yards (44-J.Sherwood; 51-F.Mauigoa).,pass,1,20,69,62,1086,186,Half1
(1:42) (Shotgun) 10-B.Nix pass short right to 1-E.Engram pushed ob at NYJ 36 for 11 yards (44-J.Sherwood).,pass,1,5,69,47,1002,102,Half1
(1:06) 63-A.Palczewski reported in as eligible. 10-B.Nix pass incomplete short right to 14-C.Sutton (1-A.Gardner).,pass,1,10,69,36,966,66,Half1
(1:03) (Shotgun) 10-B.Nix pass short left to 19-M.Mims pushed ob at NYJ 32 for 4 yards (1-A.Gardner).,pass,1,10,69,36,963,63,Half1
"(:36) (No Huddle, Shotgun) 10-B.Nix pass short left to 1-E.Engram to NYJ 16 for 16 yards (44-J.Sherwood).",pass,1,6,69,32,936,36,Half1
"(:02) (No Huddle, Shotgun) 10-B.Nix pass short right to 45-N.Adkins for 16 yards, TOUCHDOWN.",pass,1,10,69,16,902,2,Half1
(13:24) 10-B.Nix pass incomplete deep middle to 19-M.Mims.,pass,2,10,30,79,804,804,Half1
"(12:41) (No Huddle, Shotgun) 10-B.Nix pass short left to 1-E.Engram to DEN 32 for 4 yards (8-A.Cisco).",pass,2,3,30,72,761,761,Half1
(11:23) (Shotgun) 10-B.Nix pass short left to 11-T.Franklin to DEN 40 for 7 yards (9-W.McDonald). NYJ-78-J.Tufele was injured during the play.,pass,2,9,30,67,683,683,Half1
(9:36) (Shotgun) 63-A.Palczewski reported in as eligible. 10-B.Nix pass incomplete short middle to 11-T.Franklin.,pass,2,5,30,49,576,576,Half1
(9:32) (Shotgun) 10-B.Nix pass incomplete short right to 27-J.Dobbins.,pass,2,5,30,49,572,572,Half1
(7:45) 10-B.Nix pass short right to 11-T.Franklin pushed ob at DEN 46 for 5 yards (29-J.Brownlee).,pass,2,10,14,59,465,465,Half1
(4:17) (Shotgun) 10-B.Nix pass short right to 12-R.Harvey to NYJ 45 for 8 yards (27-M.Moore; 26-I.Oliver).,pass,2,15,14,53,257,257,Half1
"(9:04) 10-B.Nix pass incomplete short right to 38-J.McLaughlin. Penalty on DEN-77-Q.Meinerz, Ineligible Downfield Pass, declined.",pass,3,4,6,71,1444,544,Half2
(2:41) (Shotgun) 10-B.Nix pass incomplete short middle.,pass,3,10,3,82,1061,161,Half2
"(13:46) (No Huddle, Shotgun) 10-B.Nix pass incomplete short middle to 1-E.Engram (44-J.Sherwood).",pass,4,6,4,71,826,826,Half2
(10:16) (Shotgun) 10-B.Nix pass incomplete short right.,pass,4,10,65,74,616,616,Half2
(10:09) (Shotgun) 63-A.Palczewski reported in as eligible. 10-B.Nix pass short left to 1-E.Engram to DEN 38 for 12 yards (8-A.Cisco).,pass,4,10,65,74,609,609,Half2
(8:55) (Shotgun) 10-B.Nix pass short right to 12-R.Harvey to DEN 40 for no gain (21-B.Stephens; 44-J.Sherwood).,pass,4,8,65,60,535,535,Half2
(8:15) (Shotgun) 10-B.Nix pass short left to 19-M.Mims pushed ob at NYJ 34 for 26 yards (8-A.Cisco).,pass,4,8,65,60,495,495,Half2
"(6:43) (No Huddle, Shotgun) 10-B.Nix pass short right to 13-P.Bryant to NYJ 9 for 11 yards (26-I.Oliver).",pass,4,10,65,20,403,403,Half2
(6:03) 63-A.Palczewski reported in as eligible. 10-B.Nix pass incomplete short left.,pass,4,9,65,9,363,363,Half2
(5:14) (Shotgun) 10-B.Nix pass incomplete short left to 14-C.Sutton.,pass,4,9,65,9,314,314,Half2
(3:19) (Shotgun) 10-B.Nix sacked at DEN 11 for -6 yards (11-J.Johnson).,pass,4,9,-5,83,199,199,Half2
