Description,Throw Depth,Pass Location,Complete Pass
"(5:27) (SHOTGUN) 10-B.NIX PASS SHORT RIGHT TO 14-C.SUTTON FOR 15 YARDS, TOUCHDOWN. THE REPLAY OFFICIAL REVIEWED THE PASS COMPLETION RULING, AND THE PLAY WAS UPHELD. THE RULING ON THE FIELD STANDS.",Short,Right,1
(6:45) (SHOTGUN) 10-B.NIX PASS SHORT RIGHT TO 33-J.WILLIAMS TO LAC 21 FOR 5 YARDS (0-D.HENLEY).,Short,Right,1
(6:49) (SHOTGUN) 10-B.NIX PASS INCOMPLETE SHORT MIDDLE TO 16-T.FRANKLIN (32-A.GILMAN).,Short,Middle,0
"(6:53) (NO HUDDLE, SHOTGUN) 10-B.NIX PASS INCOMPLETE DEEP LEFT TO 14-C.SUTTON.",Deep,Left,0
"(7:15) (NO HUDDLE, SHOTGUN) 10-B.NIX PASS SHORT MIDDLE TO 17-D.VELE TO LAC 26 FOR 17 YARDS (22-E.MOLDEN, 32-A.GILMAN).",Short,Middle,1
"(10:11) (NO HUDDLE, SHOTGUN) 10-B.NIX PASS SHORT MIDDLE TO 16-T.FRANKLIN FOR 2 YARDS, TOUCHDOWN.",Short,Middle,1
(10:49) (SHOTGUN) 10-B.NIX PASS SHORT MIDDLE TO 17-D.VELE TO LAC 2 FOR 37 YARDS (29-T.STILL; 32-A.GILMAN).,Short,Middle,1
(11:36) (SHOTGUN) 10-B.NIX PASS SHORT LEFT TO 14-C.SUTTON TO LAC 39 FOR 10 YARDS (32-A.GILMAN; 24-A.FINLEY).,Short,Left,1
(12:15) (SHOTGUN) 10-B.NIX PASS SHORT RIGHT TO 33-J.WILLIAMS TO LAC 49 FOR -2 YARDS (3-D.JAMES).,Short,Right,1
"(12:18) (NO HUDDLE, SHOTGUN) 10-B.NIX PASS INCOMPLETE SHORT RIGHT TO 17-D.VELE (3-D.JAMES).",Short,Right,0
"(7:35) (NO HUDDLE, SHOTGUN) 10-B.NIX PASS SHORT RIGHT TO 33-J.WILLIAMS TO NO 29 FOR 6 YARDS (56-D.DAVIS).",Short,Right,1
"(12:40) (NO HUDDLE, SHOTGUN) 10-B.NIX PASS INCOMPLETE SHORT MIDDLE TO 82-A.TRAUTMAN.",Short,Middle,0
(12:47) 10-B.NIX PASS INCOMPLETE DEEP LEFT TO 16-T.FRANKLIN.,Deep,Left,0
(12:52) (SHOTGUN) 10-B.NIX PASS INCOMPLETE DEEP LEFT TO 85-L.KRULL.,Deep,Left,0
"(6:42) (SHOTGUN) 10-B.NIX PASS SHORT RIGHT TO 17-D.VELE TO NO 34 FOR 13 YARDS (36-R.PAYTON; 56-D.DAVIS). PENALTY ON DEN-74-B.POWERS, INELIGIBLE DOWNFIELD PASS, 5 YARDS, ENFORCED AT NO 47 - NO PLAY.",Short,Right,1
(1:46) (SHOTGUN) 10-B.NIX PASS INCOMPLETE DEEP LEFT TO 16-T.FRANKLIN.,Deep,Left,0
"(7:01) (SHOTGUN) 10-B.NIX PASS SHORT RIGHT TO 38-J.MCLAUGHLIN FOR 4 YARDS, TOUCHDOWN. THE REPLAY OFFICIAL REVIEWED THE RUNNER WAS INBOUNDS RULING, AND THE PLAY WAS UPHELD. THE RULING ON THE FIELD STANDS.",Short,Right,1
"(8:50) (NO HUDDLE, SHOTGUN) 10-B.NIX PASS SHORT RIGHT TO 84-L.HUMPHREY PUSHED OB AT LV 3 FOR 27 YARDS (20-I.POLA-MAO).",Short,Right,1
