desc,play_type,game_half,drive,qtr,down,rushing_yards,first_down_pass,first_down_penalty,receiving_yards,third_down_failed,fourth_down_converted,penalty,fumbled_1_player_name,td_player_name
(:20) 10-B.Nix pass deep right to 11-T.Franklin pushed ob at DEN 49 for 20 yards (7-K.Ringo) [52-Z.Smith].,pass,Half1,5,1,1.0,,1.0,0.0,20.0,0.0,0.0,0,,
(2:00) (Shotgun) 10-B.Nix pass short right to 11-T.Franklin to DEN 41 for 5 yards (30-J.Campbell; 52-Z.Smith).,pass,Half1,9,2,1.0,,0.0,0.0,5.0,0.0,0.0,0,,
(1:32) (Shotgun) 10-B.Nix pass incomplete deep left to 11-T.Franklin.,pass,Half1,9,2,3.0,,0.0,0.0,,1.0,0.0,0,,
(14:23) (Shotgun) 10-B.Nix pass short left to 11-T.Franklin ran ob at PHI 9 for 10 yards (24-A.Mukuba).,pass,Half2,18,4,1.0,,1.0,0.0,10.0,0.0,0.0,0,,
TWO-POINT CONVERSION ATTEMPT. 10-B.Nix pass to 11-T.Franklin is complete. ATTEMPT SUCCEEDS.,pass,Half2,20,4,,,0.0,0.0,,0.0,0.0,0,,
"(13:38) (Shotgun) 10-B.Nix pass short right to 11-T.Franklin to DEN 32 for 7 yards (29-J.Brownlee) [44-J.Sherwood]. FUMBLES (29-J.Brownlee), RECOVERED by NYJ-8-A.Cisco at DEN 37.",pass,Half1,1,1,3.0,,0.0,0.0,7.0,1.0,0.0,0,T.Franklin,
(8:41) 11-T.Franklin right end pushed ob at NYJ 48 for 2 yards (44-J.Sherwood).,run,Half1,3,1,2.0,2.0,0.0,0.0,,0.0,0.0,0,,
(11:23) (Shotgun) 10-B.Nix pass short left to 11-T.Franklin to DEN 40 for 7 yards (9-W.McDonald). NYJ-78-J.Tufele was injured during the play.,pass,Half1,7,2,2.0,,0.0,0.0,7.0,0.0,0.0,0,,
(9:36) (Shotgun) 63-A.Palczewski reported in as eligible. 10-B.Nix pass incomplete short middle to 11-T.Franklin.,pass,Half1,7,2,2.0,,0.0,0.0,,0.0,0.0,0,,
(7:45) 10-B.Nix pass short right to 11-T.Franklin pushed ob at DEN 46 for 5 yards (29-J.Brownlee).,pass,Half1,9,2,1.0,,0.0,0.0,5.0,0.0,0.0,0,,
