desc,play_type,game_half,drive,qtr,down,rushing_yards,first_down_pass,first_down_penalty,receiving_yards,third_down_failed,fourth_down_converted,penalty,fumbled_1_player_name,fumbled_2_player_name,td_player_name
(4:15) (Shotgun) 9-J.Burrow pass incomplete short right to 89-D.Sample (30-D.Bush) [30-D.Bush].,pass,Half2,11,3,2.0,,0.0,0.0,,0.0,0.0,0,,,
(4:09) (Shotgun) 9-J.Burrow pass short right to 5-T.Higgins pushed ob at CLE 23 for 10 yards (21-D.Ward) [49-C.Schwesinger].,pass,Half2,11,3,3.0,,1.0,0.0,10.0,0.0,0.0,0,,,
(3:41) (Shotgun) 30-C.Brown right tackle to CLE 17 for 6 yards (57-I.McGuire).,run,Half2,11,3,1.0,6.0,0.0,0.0,,0.0,0.0,0,,,
(2:59) (Shotgun) 9-J.Burrow pass incomplete short right to 88-M.Gesicki (21-D.Ward).,pass,Half2,11,3,2.0,,0.0,0.0,,0.0,0.0,0,,,
(2:55) (Shotgun) 9-J.Burrow pass incomplete short right to 30-C.Brown.,pass,Half2,11,3,3.0,,0.0,0.0,,1.0,0.0,0,,,
(14:13) (Shotgun) 30-C.Brown right tackle to CIN 40 for 1 yard (49-C.Schwesinger; 93-S.Harris).,run,Half2,13,4,1.0,1.0,0.0,0.0,,0.0,0.0,0,,,
(13:28) (Shotgun) 9-J.Burrow pass incomplete deep right to 5-T.Higgins (33-R.Hickman).,pass,Half2,13,4,2.0,,0.0,0.0,,0.0,0.0,0,,,
(13:23) (Shotgun) 9-J.Burrow pass incomplete short left to 1-J.Chase (0-G.Newsome) [95-M.Garrett].,pass,Half2,13,4,3.0,,0.0,0.0,,1.0,0.0,0,,,
(9:22) (Shotgun) 9-J.Burrow sacked at CIN 14 for -6 yards (95-M.Garrett).,pass,Half2,15,4,1.0,,0.0,0.0,,0.0,0.0,0,,,
(8:36) (Shotgun) 9-J.Burrow sacked at CIN 9 for -5 yards (95-M.Garrett).,pass,Half2,15,4,2.0,,0.0,0.0,,0.0,0.0,0,,,
(7:54) (Shotgun) 9-J.Burrow sacked at CIN 2 for -7 yards (57-I.McGuire).,pass,Half2,15,4,3.0,,0.0,0.0,,1.0,0.0,0,,,
(2:22) (Shotgun) 30-C.Brown right guard to CIN 25 for -1 yards (95-M.Garrett).,run,Half2,17,4,1.0,-1.0,0.0,0.0,,0.0,0.0,0,,,
(2:17) (Shotgun) 9-J.Burrow pass short left to 5-T.Higgins pushed ob at CIN 35 for 10 yards (0-G.Newsome).,pass,Half2,17,4,2.0,,0.0,0.0,10.0,0.0,0.0,0,,,
(2:13) (Shotgun) 30-C.Brown up the middle to CIN 35 for no gain (30-D.Bush).,run,Half2,17,4,3.0,0.0,0.0,0.0,,1.0,0.0,0,,,
(1:24) 61-C.Ford reported in as eligible. 30-C.Brown right guard to CLE 42 for -2 yards (57-I.McGuire).,run,Half2,19,4,1.0,-2.0,0.0,0.0,,0.0,0.0,0,,,
(1:20) 61-C.Ford reported in as eligible. 30-C.Brown right end to CLE 42 for -5 yards (49-C.Schwesinger).,run,Half2,19,4,2.0,-5.0,0.0,0.0,,0.0,0.0,0,,,
(1:17) 61-C.Ford reported in as eligible. 30-C.Brown left guard to CLE 45 for -3 yards (95-M.Garrett).,run,Half2,19,4,3.0,-3.0,0.0,0.0,,1.0,0.0,0,,,
(10:46) (Shotgun) 30-C.Brown up the middle to CIN 27 for 1 yard (44-T.Walker).,run,Half1,2,1,1.0,1.0,0.0,0.0,,0.0,0.0,0,,,
"(10:09) (Shotgun) 9-J.Burrow pass incomplete short left to 89-D.Sample (44-T.Walker). Jacksonville challenged the incomplete pass ruling, and the play was Upheld. The ruling on the field stands. (Timeout #2.)",pass,Half1,2,1,2.0,,0.0,0.0,,0.0,0.0,0,,,
(10:05) (Shotgun) 9-J.Burrow sacked at CIN 24 for -3 yards (23-F.Oluokun).,pass,Half1,2,1,3.0,,0.0,0.0,,1.0,0.0,0,,,
(4:52) (Shotgun) 9-J.Burrow pass incomplete short right to 1-J.Chase (22-J.Jones).,pass,Half1,4,1,1.0,,0.0,0.0,,0.0,0.0,0,,,
(4:47) (Shotgun) 30-C.Brown right end pushed ob at CIN 31 for 11 yards (42-A.Wingard).,run,Half1,4,1,2.0,11.0,0.0,0.0,,0.0,0.0,0,,,
(4:13) (Shotgun) 9-J.Burrow pass short right to 1-J.Chase pushed ob at CIN 44 for 13 yards (22-J.Jones).,pass,Half1,4,1,1.0,,1.0,0.0,13.0,0.0,0.0,0,,,
"(3:38) (Shotgun) 9-J.Burrow pass deep right to 86-N.Fant to JAX 31 for 25 yards (0-D.Lloyd). Penalty on JAX-2-J.Lewis, Illegal Contact, declined.",pass,Half1,4,1,1.0,,1.0,0.0,25.0,0.0,0.0,0,,,
(3:07) (Shotgun) 9-J.Burrow pass incomplete short left.,pass,Half1,4,1,1.0,,0.0,0.0,,0.0,0.0,0,,,
(3:01) (Shotgun) 9-J.Burrow pass short left to 5-T.Higgins to JAX 25 for 6 yards (2-J.Lewis).,pass,Half1,4,1,2.0,,0.0,0.0,6.0,0.0,0.0,0,,,
(2:17) (Shotgun) 9-J.Burrow pass short middle to 1-J.Chase to JAX 15 for 10 yards (3-T.Campbell).,pass,Half1,4,1,3.0,,1.0,0.0,10.0,0.0,0.0,0,,,
(1:36) (Shotgun) 9-J.Burrow pass short left to 1-J.Chase pushed ob at JAX 5 for 10 yards (41-J.Hines-Allen).,pass,Half1,4,1,1.0,,1.0,0.0,10.0,0.0,0.0,0,,,
(:58) 30-C.Brown up the middle to JAX 4 for 1 yard (52-D.Hamilton).,run,Half1,4,1,1.0,1.0,0.0,0.0,,0.0,0.0,0,,,
(:17) (Shotgun) 9-J.Burrow pass incomplete short left to 5-T.Higgins (3-T.Campbell) [41-J.Hines-Allen]. JAX-22-J.Jones was injured during the play.,pass,Half1,4,1,2.0,,0.0,0.0,,0.0,0.0,0,,,
"(:10) (Shotgun) 9-J.Burrow pass short left to 1-J.Chase for 4 yards, TOUCHDOWN.",pass,Half1,4,1,3.0,,1.0,0.0,4.0,0.0,0.0,0,,,J.Chase
(10:44) (Shotgun) 30-C.Brown right guard to CIN 42 for 3 yards (44-T.Walker; 99-Au.Johnson).,run,Half1,6,2,1.0,3.0,0.0,0.0,,0.0,0.0,0,,,
(9:59) (Shotgun) 9-J.Burrow pass incomplete short right to 80-A.Iosivas (12-T.Hunter).,pass,Half1,6,2,2.0,,0.0,0.0,,0.0,0.0,0,,,
(9:53) (Shotgun) 9-J.Burrow pass short right to 5-T.Higgins to 50 for 8 yards (3-T.Campbell).,pass,Half1,6,2,3.0,,1.0,0.0,8.0,0.0,0.0,0,,,
(9:07) (Shotgun) 9-J.Burrow pass incomplete short right to 30-C.Brown (51-V.Miller) [44-T.Walker].,pass,Half1,6,2,1.0,,0.0,0.0,,0.0,0.0,0,,,
(9:02) (Shotgun) 9-J.Burrow sacked at CIN 35 for -5 yards (91-A.Armstead). CIN-9-J.Burrow was injured during the play.,pass,Half1,6,2,2.0,,0.0,0.0,,0.0,0.0,0,,,
(8:31) (Shotgun) 30-C.Brown right end pushed ob at CIN 41 for 6 yards (23-F.Oluokun).,run,Half1,6,2,3.0,6.0,0.0,0.0,,1.0,0.0,0,,,
(7:04) (Shotgun) 6-J.Browning pass short middle to 1-J.Chase pushed ob at JAX 23 for 7 yards (29-E.Murray).,pass,Half1,8,2,1.0,,0.0,0.0,7.0,0.0,0.0,0,,,
(6:31) (Shotgun) 30-C.Brown up the middle to JAX 22 for 1 yard (41-J.Hines-Allen; 94-M.Smith).,run,Half1,8,2,2.0,1.0,0.0,0.0,,0.0,0.0,0,,,
(5:50) (Shotgun) 30-C.Brown up the middle to JAX 20 for 2 yards (52-D.Hamilton).,run,Half1,8,2,3.0,2.0,0.0,0.0,,0.0,0.0,0,,,
(5:06) (Shotgun) 6-J.Browning pass incomplete short right.,pass,Half1,8,2,1.0,,0.0,0.0,,0.0,0.0,0,,,
(4:58) (Shotgun) 6-J.Browning sacked at JAX 27 for -7 yards (44-T.Walker).,pass,Half1,8,2,2.0,,0.0,0.0,,0.0,0.0,0,,,
(4:15) (Shotgun) 6-J.Browning pass short right to 1-J.Chase to JAX 13 for 14 yards (23-F.Oluokun; 29-E.Murray).,pass,Half1,8,2,3.0,,0.0,0.0,14.0,1.0,0.0,0,,,
(1:29) (Shotgun) 6-J.Browning pass short left to 1-J.Chase pushed ob at JAX 35 for 25 yards (29-E.Murray).,pass,Half1,10,2,1.0,,1.0,0.0,25.0,0.0,0.0,0,,,
(1:22) (Shotgun) 6-J.Browning pass incomplete deep right to 5-T.Higgins.,pass,Half1,10,2,1.0,,0.0,0.0,,0.0,0.0,0,,,
(1:18) (Shotgun) 6-J.Browning pass short right to 1-J.Chase to JAX 36 for -1 yards (2-J.Lewis).,pass,Half1,10,2,2.0,,0.0,0.0,-1.0,0.0,0.0,0,,,
(:34) (Shotgun) 6-J.Browning pass deep right intended for 80-A.Iosivas INTERCEPTED by 29-E.Murray [44-T.Walker] at JAX 15. 29-E.Murray to JAX 27 for 12 yards (1-J.Chase).,pass,Half1,10,2,3.0,,0.0,0.0,,1.0,0.0,0,,,
(14:57) 30-C.Brown up the middle to CIN 29 for 5 yards (52-D.Hamilton; 44-T.Walker).,run,Half2,12,3,1.0,5.0,0.0,0.0,,0.0,0.0,0,,,
(14:16) (Shotgun) 30-C.Brown up the middle to CIN 35 for 6 yards (41-J.Hines-Allen).,run,Half2,12,3,2.0,6.0,0.0,0.0,,0.0,0.0,0,,,
(13:38) (Shotgun) 6-J.Browning pass deep left to 1-J.Chase ran ob at JAX 40 for 25 yards.,pass,Half2,12,3,1.0,,1.0,0.0,25.0,0.0,0.0,0,,,
(13:03) 30-C.Brown right end to JAX 37 for 3 yards (2-J.Lewis).,run,Half2,12,3,1.0,3.0,0.0,0.0,,0.0,0.0,0,,,
(12:24) (Shotgun) 6-J.Browning pass short left to 1-J.Chase to JAX 25 for 12 yards (3-T.Campbell; 2-J.Lewis).,pass,Half2,12,3,2.0,,1.0,0.0,12.0,0.0,0.0,0,,,
