desc,play_type,game_half,drive,qtr,down,rushing_yards,first_down_pass,first_down_penalty,receiving_yards,third_down_failed,fourth_down_converted,penalty,fumbled_1_player_name,td_player_name
(4:48) 1-R.White up the middle to TB 27 for 2 yards (91-F.Fatukasi).,run,Half1,6,2,1.0,2.0,0.0,0.0,,0.0,0.0,0,,
(14:55) 7-B.Irving right guard to TB 35 for 7 yards (0-A.Al-Shaair).,run,Half2,10,3,1.0,7.0,0.0,0.0,,0.0,0.0,0,,
(14:21) 7-B.Irving right tackle to TB 37 for 2 yards (4-K.Lassiter). ** Injury Update: HOU-5-J.Pitre has returned to the game.,run,Half2,10,3,2.0,2.0,0.0,0.0,,0.0,0.0,0,,
"(12:56) (No Huddle, Shotgun) 7-B.Irving right guard to TB 48 for -1 yards (39-H.To'oTo'o).",run,Half2,10,3,2.0,-1.0,0.0,0.0,,0.0,0.0,0,,
(8:01) 7-B.Irving right guard to TB 10 for 2 yards (0-A.Al-Shaair).,run,Half2,12,3,1.0,2.0,0.0,0.0,,0.0,0.0,0,,
(7:24) 7-B.Irving right tackle to TB 18 for 8 yards (0-A.Al-Shaair).,run,Half2,12,3,2.0,8.0,0.0,0.0,,0.0,0.0,0,,
(6:39) 7-B.Irving up the middle to TB 21 for 3 yards (91-F.Fatukasi).,run,Half2,12,3,1.0,3.0,0.0,0.0,,0.0,0.0,0,,
(3:28) (Shotgun) 1-R.White right guard pushed ob at HOU 45 for 12 yards (0-A.Al-Shaair).,run,Half2,14,3,2.0,12.0,0.0,0.0,,0.0,0.0,0,,
(2:50) (Shotgun) 1-R.White up the middle to HOU 36 for 9 yards (2-C.Bullock).,run,Half2,14,3,1.0,9.0,0.0,0.0,,0.0,0.0,0,,
"(2:22) (No Huddle, Shotgun) 1-R.White right guard to HOU 20 for 16 yards (0-A.Al-Shaair). HOU-0-A.Al-Shaair was injured during the play.",run,Half2,14,3,2.0,16.0,0.0,0.0,,0.0,0.0,0,,
(1:54) (Shotgun) 1-R.White left guard to HOU 19 for 1 yard (98-T.Settle).,run,Half2,14,3,1.0,1.0,0.0,0.0,,0.0,0.0,0,,
(11:15) 7-B.Irving left tackle to TB 5 for 4 yards (39-H.To'oTo'o). ** Injury Update: HOU-0-A.Al-Shaair has returned to the game.,run,Half2,16,4,1.0,4.0,0.0,0.0,,0.0,0.0,0,,
(10:12) (Shotgun) 7-B.Irving up the middle to TB 20 for no gain (4-K.Lassiter; 51-W.Anderson).,run,Half2,16,4,1.0,0.0,0.0,0.0,,0.0,0.0,0,,
(9:25) (Shotgun) 6-B.Mayfield scrambles up the middle to TB 36 for 16 yards (51-W.Anderson).,run,Half2,16,4,3.0,16.0,0.0,0.0,,0.0,0.0,0,,
(8:13) (Shotgun) 7-B.Irving left tackle to TB 41 for 5 yards (4-K.Lassiter).,run,Half2,16,4,1.0,5.0,0.0,0.0,,0.0,0.0,0,,
(5:22) 7-B.Irving left end to TB 35 for no gain (4-K.Lassiter).,run,Half2,18,4,1.0,0.0,0.0,0.0,,0.0,0.0,0,,
(1:24) (Shotgun) 6-B.Mayfield scrambles up the middle to TB 47 for 15 yards (8-C.Gardner-Johnson).,run,Half2,20,4,4.0,15.0,0.0,0.0,,0.0,1.0,0,,
"(:09) 1-R.White right guard for 2 yards, TOUCHDOWN.",run,Half2,20,4,2.0,2.0,0.0,0.0,,0.0,0.0,0,,R.White
(8:46) 7-B.Irving right guard to TB 36 for 4 yards (9-W.McDonald).,run,Half1,2,1,1.0,4.0,0.0,0.0,,0.0,0.0,0,,
"(8:09) 7-B.Irving left tackle to NYJ 41 for 8 yards (44-J.Sherwood). PENALTY on TB-81-R.Miller, Offensive Holding, 10 yards, enforced at NYJ 47.",run,Half1,2,1,1.0,2.0,0.0,0.0,,0.0,0.0,1,,
"(7:11) (No Huddle, Shotgun) 7-B.Irving left guard to NYJ 28 for 4 yards (30-M.Carter; 44-J.Sherwood).",run,Half1,2,1,1.0,4.0,0.0,0.0,,0.0,0.0,0,,
(5:25) 7-B.Irving right guard to NYJ 22 for 3 yards (72-M.Clemons; 44-J.Sherwood).,run,Half1,2,1,1.0,3.0,0.0,0.0,,0.0,0.0,0,,
(4:43) (Shotgun) 7-B.Irving left end to NYJ 19 for 3 yards (51-F.Mauigoa).,run,Half1,2,1,2.0,3.0,0.0,0.0,,0.0,0.0,0,,
(3:08) (Shotgun) 1-R.White up the middle to NYJ 35 for 4 yards (95-Q.Williams; 94-T.Baron).,run,Half1,2,1,3.0,4.0,0.0,0.0,,1.0,0.0,0,,
"(12:53) (No Huddle, Shotgun) 7-B.Irving left end to NYJ 45 for -6 yards (72-M.Clemons).",run,Half1,4,2,2.0,-6.0,0.0,0.0,,0.0,0.0,0,,
(9:09) (Shotgun) 1-R.White left tackle to NYJ 36 for 7 yards (21-B.Stephens).,run,Half1,6,2,1.0,7.0,0.0,0.0,,0.0,0.0,0,,
(8:51) (No Huddle) 1-R.White left guard to NYJ 36 for no gain (95-Q.Williams).,run,Half1,6,2,2.0,0.0,0.0,0.0,,0.0,0.0,0,,
