desc,play_type,game_half,drive,qtr,down,rushing_yards,first_down_pass,first_down_penalty,receiving_yards,third_down_failed,fourth_down_converted,penalty,fumbled_1_player_name,fumbled_2_player_name,td_player_name
(12:50) (Shotgun) 14-A.St. Brown up the middle to CHI 11 for 1 yard (97-A.Billings; 91-Ch.Williams).,run,Half2,16,3,1.0,1.0,0.0,0.0,,0.0,0.0,0,,,
(12:07) 0-J.Gibbs left tackle to CHI 22 for -11 yards (49-T.Edmunds).,run,Half2,16,3,2.0,-11.0,0.0,0.0,,0.0,0.0,0,,,
(11:25) (Shotgun) 16-J.Goff scrambles up the middle to CHI 16 for 6 yards (98-M.Sweat).,run,Half2,16,3,3.0,6.0,0.0,0.0,,1.0,0.0,0,,,
(7:41) 0-J.Gibbs right end to CHI 43 for 3 yards (49-T.Edmunds).,run,Half2,18,3,1.0,3.0,0.0,0.0,,0.0,0.0,0,,,
(7:05) 0-J.Gibbs right tackle to CHI 44 for -1 yards (44-N.Sewell).,run,Half2,18,3,2.0,-1.0,0.0,0.0,,0.0,0.0,0,,,
(3:33) 5-D.Montgomery up the middle to DET 41 for 13 yards (29-T.Stevenson; 9-J.Brisker).,run,Half2,20,3,1.0,13.0,0.0,0.0,,0.0,0.0,0,,,
(2:48) (Shotgun) 5-D.Montgomery up the middle to DET 45 for 4 yards (49-T.Edmunds; 44-N.Sewell).,run,Half2,20,3,1.0,4.0,0.0,0.0,,0.0,0.0,0,,,
(2:04) 0-J.Gibbs right tackle pushed ob at CHI 13 for 42 yards (31-K.Byard).,run,Half2,20,3,2.0,42.0,0.0,0.0,,0.0,0.0,0,,,
(1:21) 5-D.Montgomery left tackle to CHI 11 for 2 yards (47-R.Hyppolite).,run,Half2,20,3,1.0,2.0,0.0,0.0,,0.0,0.0,0,,,
(11:00) 0-J.Gibbs left end to CHI 9 for 26 yards (98-M.Sweat).,run,Half2,22,4,2.0,26.0,0.0,0.0,,0.0,0.0,0,,,
(10:11) 5-D.Montgomery right tackle to CHI 4 for 5 yards (98-M.Sweat).,run,Half2,22,4,1.0,5.0,0.0,0.0,,0.0,0.0,0,,,
(9:27) 5-D.Montgomery left tackle to CHI 3 for 1 yard (55-D.Odeyingbo; 97-A.Billings).,run,Half2,22,4,2.0,1.0,0.0,0.0,,0.0,0.0,0,,,
(8:43) 5-D.Montgomery right end to CHI 4 for -1 yards (99-G.Dexter).,run,Half2,22,4,3.0,-1.0,0.0,0.0,,1.0,0.0,0,,,
"(6:02) 13-C.Reynolds right tackle to DET 30 for 1 yard (9-J.Brisker, 44-N.Sewell).",run,Half2,24,4,1.0,1.0,0.0,0.0,,0.0,0.0,0,,,
"(5:22) 13-C.Reynolds right tackle to DET 30 for no gain (9-J.Brisker, 26-N.Wright). Penalty on DET-19-D.Lovett, Offensive Offside, declined.",run,Half2,24,4,2.0,0.0,0.0,0.0,,0.0,0.0,0,,,
(4:53) (Shotgun) 13-C.Reynolds up the middle to DET 33 for 3 yards (97-A.Billings; 55-D.Odeyingbo).,run,Half2,24,4,3.0,3.0,0.0,0.0,,1.0,0.0,0,,,
(14:51) 0-J.Gibbs right guard to DET 35 for 2 yards (96-B.Washington; 24-M.Starks).,run,Half1,1,1,1.0,2.0,0.0,0.0,,0.0,0.0,0,,,
(13:43) (Shotgun) 0-J.Gibbs up the middle to BAL 44 for -3 yards (99-O.Oweh).,run,Half1,1,1,1.0,-3.0,0.0,0.0,,0.0,0.0,0,,,
(13:09) 0-J.Gibbs left end to BAL 37 for 7 yards (3-C.Awuzie; 44-M.Humphrey).,run,Half1,1,1,2.0,7.0,0.0,0.0,,0.0,0.0,0,,,
(11:51) 0-J.Gibbs left end to BAL 16 for 2 yards (94-J.Jenkins).,run,Half1,1,1,1.0,2.0,0.0,0.0,,0.0,0.0,0,,,
(9:48) (Shotgun) 0-J.Gibbs left guard to BAL 1 for 3 yards (24-M.Starks).,run,Half1,1,1,1.0,3.0,0.0,0.0,,0.0,0.0,0,,,
"(9:19) (No Huddle) 0-J.Gibbs up the middle for 1 yard, TOUCHDOWN.",run,Half1,1,1,2.0,1.0,0.0,0.0,,0.0,0.0,0,,,J.Gibbs
"(5:35) 16-J.Goff FUMBLES (Aborted) at DET 23, recovered by DET-0-J.Gibbs at DET 22. 0-J.Gibbs pushed ob at DET 23 for 1 yard (0-R.Smith).",run,Half1,3,1,1.0,0.0,0.0,0.0,,0.0,0.0,0,J.Goff,,
(4:53) 0-J.Gibbs right end ran ob at DET 23 for no gain (0-R.Smith).,run,Half1,3,1,2.0,0.0,0.0,0.0,,0.0,0.0,0,,,
(1:43) 5-D.Montgomery up the middle to DET 6 for 4 yards (24-M.Starks; 95-T.Robinson).,run,Half1,5,1,1.0,4.0,0.0,0.0,,0.0,0.0,0,,,
"(1:06) 5-D.Montgomery up the middle to DET 5 for -1 yards (94-J.Jenkins). Penalty on DET, Illegal Formation, declined.",run,Half1,5,1,2.0,-1.0,0.0,0.0,,0.0,0.0,0,,,
(14:23) 16-J.Goff scrambles up the middle to DET 33 for 5 yards (0-R.Smith).,run,Half1,5,2,1.0,5.0,0.0,0.0,,0.0,0.0,0,,,
(13:48) 0-J.Gibbs left end pushed ob at DET 30 for -3 yards (24-M.Starks).,run,Half1,5,2,2.0,-3.0,0.0,0.0,,0.0,0.0,0,,,
(12:24) 5-D.Montgomery right end to DET 44 for no gain (94-J.Jenkins; 97-B.Urban).,run,Half1,5,2,1.0,0.0,0.0,0.0,,0.0,0.0,0,,,
(11:48) 5-D.Montgomery left tackle to BAL 47 for 9 yards (40-T.Buchanan; 14-K.Hamilton).,run,Half1,5,2,2.0,9.0,0.0,0.0,,0.0,0.0,0,,,
(11:10) 0-J.Gibbs right tackle to BAL 46 for 1 yard (45-M.Green; 40-T.Buchanan).,run,Half1,5,2,3.0,1.0,0.0,0.0,,0.0,0.0,0,,,
(10:12) 5-D.Montgomery right tackle to BAL 29 for 8 yards (2-N.Wiggins).,run,Half1,5,2,2.0,8.0,0.0,0.0,,0.0,0.0,0,,,
(9:25) 5-D.Montgomery left guard to BAL 19 for 10 yards (14-K.Hamilton).,run,Half1,5,2,1.0,10.0,0.0,0.0,,0.0,0.0,0,,,
(8:43) 0-J.Gibbs left end to BAL 18 for 1 yard (45-M.Green; 96-B.Washington).,run,Half1,5,2,1.0,1.0,0.0,0.0,,0.0,0.0,0,,,
(8:06) 0-J.Gibbs up the middle to BAL 10 for 8 yards (24-M.Starks; 14-K.Hamilton).,run,Half1,5,2,2.0,8.0,0.0,0.0,,0.0,0.0,0,,,
(7:19) 16-J.Goff up the middle to BAL 8 for 2 yards (98-T.Jones).,run,Half1,5,2,3.0,2.0,0.0,0.0,,0.0,0.0,0,,,
"(5:57) (Shotgun) 5-D.Montgomery up the middle for 1 yard, TOUCHDOWN.",run,Half1,5,2,2.0,1.0,0.0,0.0,,0.0,0.0,0,,,D.Montgomery
