desc,play_type,game_half,drive,qtr,down,rushing_yards,first_down_pass,first_down_penalty,receiving_yards,third_down_failed,fourth_down_converted,penalty,fumbled_1_player_name,fumbled_2_player_name,td_player_name
(13:17) 7-B.Irving left tackle to ATL 28 for 2 yards (98-R.Orhorhoro; 0-D.Deablo).,run,Half2,12,3,1.0,2.0,0.0,0.0,,0.0,0.0,0,,,
"(12:32) (Shotgun) 6-B.Mayfield pass short left to 15-T.Johnson pushed ob at ATL 23 for 5 yards. Atlanta challenged the pass completion ruling, and the play was REVERSED. (Shotgun) 6-B.Mayfield pass incomplete short left to 15-T.Johnson.",pass,Half2,12,3,2.0,,0.0,0.0,,0.0,0.0,0,,,
(12:29) (Shotgun) 6-B.Mayfield pass short left to 1-R.White to ATL 26 for 2 yards (31-X.Watts).,pass,Half2,12,3,3.0,,0.0,0.0,2.0,1.0,0.0,0,,,
(9:39) (Shotgun) 7-B.Irving right tackle to ATL 28 for 4 yards (96-Z.Harrison; 3-J.Bates).,run,Half2,14,3,1.0,4.0,0.0,0.0,,0.0,0.0,0,,,
(8:57) (Shotgun) 6-B.Mayfield pass incomplete short middle to 17-S.Shepard (31-X.Watts).,pass,Half2,14,3,2.0,,0.0,0.0,,0.0,0.0,0,,,
(8:52) (Shotgun) 6-B.Mayfield scrambles left end to ATL 8 for 20 yards (11-J.Walker).,run,Half2,14,3,3.0,20.0,0.0,0.0,,0.0,0.0,0,,,
(8:17) (No Huddle) 7-B.Irving right tackle to ATL 9 for -1 yards (17-A.Ebiketie).,run,Half2,14,3,1.0,-1.0,0.0,0.0,,0.0,0.0,0,,,
"(7:33) (Shotgun) 6-B.Mayfield pass short right to 7-B.Irving for 9 yards, TOUCHDOWN.",pass,Half2,14,3,2.0,,1.0,0.0,9.0,0.0,0.0,0,,,B.Irving
(:14) 7-B.Irving right tackle to TB 28 for 1 yard (24-A.Terrell).,run,Half2,16,3,1.0,1.0,0.0,0.0,,0.0,0.0,0,,,
(15:00) (Shotgun) 6-B.Mayfield pass incomplete deep right to 13-M.Evans.,pass,Half2,16,4,2.0,,0.0,0.0,,0.0,0.0,0,,,
(14:55) (Shotgun) 6-B.Mayfield scrambles up the middle to TB 38 for 10 yards (3-J.Bates; 17-A.Ebiketie).,run,Half2,16,4,3.0,10.0,0.0,0.0,,0.0,0.0,0,,,
(14:10) 2-E.Egbuka right guard to TB 47 for 9 yards (3-J.Bates; 55-K.Elliss).,run,Half2,16,4,1.0,9.0,0.0,0.0,,0.0,0.0,0,,,
(13:27) 6-B.Mayfield pass short left to 7-B.Irving to TB 47 for no gain (17-A.Ebiketie).,pass,Half2,16,4,2.0,,0.0,0.0,0.0,0.0,0.0,0,,,
(12:46) 7-B.Irving right tackle to ATL 49 for 4 yards (33-B.Bowman; 11-J.Walker).,run,Half2,16,4,3.0,4.0,0.0,0.0,,0.0,0.0,0,,,
(12:05) 6-B.Mayfield pass short right to 7-B.Irving to TB 49 for -2 yards (0-D.Deablo).,pass,Half2,16,4,1.0,,0.0,0.0,-2.0,0.0,0.0,0,,,
(11:20) (Shotgun) 6-B.Mayfield pass incomplete deep right to 88-C.Otton.,pass,Half2,16,4,2.0,,0.0,0.0,,0.0,0.0,0,,,
(11:15) (Shotgun) 6-B.Mayfield pass incomplete deep right to 17-S.Shepard.,pass,Half2,16,4,3.0,,0.0,0.0,,1.0,0.0,0,,,
(2:10) (Shotgun) 6-B.Mayfield pass short middle to 13-M.Evans to TB 49 for 12 yards (31-X.Watts).,pass,Half2,18,4,1.0,,1.0,0.0,12.0,0.0,0.0,0,,,
(2:00) (Shotgun) 6-B.Mayfield pass short right to 7-B.Irving to 50 for 1 yard (3-J.Bates).,pass,Half2,18,4,1.0,,0.0,0.0,1.0,0.0,0.0,0,,,
"(1:38) (No Huddle, Shotgun) 6-B.Mayfield pass incomplete short right to 88-C.Otton [27-J.Pearce].",pass,Half2,18,4,2.0,,0.0,0.0,,0.0,0.0,0,,,
(1:32) (Shotgun) 6-B.Mayfield pass short middle to 17-S.Shepard to ATL 40 for 10 yards (55-K.Elliss).,pass,Half2,18,4,3.0,,1.0,0.0,10.0,0.0,0.0,0,,,
