desc,play_type,game_half,drive,qtr,down,rushing_yards,first_down_pass,first_down_penalty,receiving_yards,third_down_failed,fourth_down_converted,penalty,fumbled_1_player_name,fumbled_2_player_name,td_player_name
"(8:40) (Shotgun) 30-C.Brown left end to CIN 35 for no gain (41-J.Hines-Allen, 3-T.Campbell).",run,Half2,14,3,1.0,0.0,0.0,0.0,,0.0,0.0,0,,,
(4:00) 30-C.Brown right guard to JAX 44 for 3 yards (44-T.Walker).,run,Half2,16,3,1.0,3.0,0.0,0.0,,0.0,0.0,0,,,
(3:26) (Shotgun) 30-C.Brown up the middle to JAX 42 for 2 yards (91-A.Armstead; 52-D.Hamilton).,run,Half2,16,3,2.0,2.0,0.0,0.0,,0.0,0.0,0,,,
(11:37) (Shotgun) 30-C.Brown left end to CIN 35 for -2 yards (23-F.Oluokun).,run,Half2,18,4,1.0,-2.0,0.0,0.0,,0.0,0.0,0,,,
(1:04) (Shotgun) 30-C.Brown up the middle to JAX 1 for 3 yards (41-J.Hines-Allen).,run,Half2,22,4,2.0,3.0,0.0,0.0,,0.0,0.0,0,,,
(:51) (Shotgun) 30-C.Brown up the middle to JAX 3 for 2 yards (29-E.Murray).,run,Half2,22,4,1.0,2.0,0.0,0.0,,0.0,0.0,0,,,
"(:19) 6-J.Browning up the middle for 1 yard, TOUCHDOWN.",run,Half2,22,4,3.0,1.0,0.0,0.0,,0.0,0.0,0,,,J.Browning
(12:53) 30-C.Brown right end to CIN 28 for -1 yards (58-J.Greenard).,run,Half1,2,1,1.0,-1.0,0.0,0.0,,0.0,0.0,0,,,
(8:49) 1-J.Chase left end to MIN 43 for 9 yards (44-J.Metellus).,run,Half1,4,1,1.0,9.0,0.0,0.0,,0.0,0.0,0,,,
(8:18) 6-J.Browning up the middle to MIN 40 for 3 yards (0-I.Pace).,run,Half1,4,1,2.0,3.0,0.0,0.0,,0.0,0.0,0,,,
"(7:08) 30-C.Brown right guard to MIN 29 for 1 yard (55-E.Wilson). FUMBLES (55-E.Wilson), and recovers at MIN 29.",run,Half1,4,1,1.0,1.0,0.0,0.0,,0.0,0.0,0,C.Brown,,
(6:03) (Shotgun) 30-C.Brown left tackle to CIN 27 for 2 yards (93-J.Allen).,run,Half1,5,1,1.0,2.0,0.0,0.0,,0.0,0.0,0,,,
(5:25) (Shotgun) 30-C.Brown up the middle to CIN 27 for no gain (15-D.Turner; 93-J.Allen).,run,Half1,5,1,2.0,0.0,0.0,0.0,,0.0,0.0,0,,,
(1:39) 30-C.Brown up the middle to CIN 5 for -2 yards (50-L.Rodriguez).,run,Half1,7,1,1.0,-2.0,0.0,0.0,,0.0,0.0,0,,,
"(:55) (Shotgun) 34-S.Perine up the middle to CIN 16 for 11 yards (44-J.Metellus, 97-J.Hargrave). (Virtual Measurement). Cincinnati challenged the short of the line to gain ruling, and the play was REVERSED. (Shotgun) 34-S.Perine up the middle to CIN 17 for 12 yards (44-J.Metellus, 97-J.Hargrave).",run,Half1,7,1,3.0,12.0,0.0,0.0,,0.0,0.0,0,,,
"(14:39) (Shotgun) 34-S.Perine up the middle to CIN 11 for 1 yard (55-E.Wilson, 93-J.Allen).",run,Half1,7,2,3.0,1.0,0.0,0.0,,1.0,0.0,0,,,
(8:35) (Shotgun) 30-C.Brown up the middle to CIN 30 for 3 yards (50-L.Rodriguez; 0-I.Pace).,run,Half1,9,2,2.0,3.0,0.0,0.0,,0.0,0.0,0,,,
"(6:15) 30-C.Brown right guard to MIN 29 for no gain (0-I.Pace, 55-E.Wilson).",run,Half1,9,2,1.0,0.0,0.0,0.0,,0.0,0.0,0,,,
(2:15) (Shotgun) 34-S.Perine right guard to MIN 36 for 3 yards (0-I.Pace).,run,Half1,11,2,2.0,3.0,0.0,0.0,,0.0,0.0,0,,,
"(:28) (Shotgun) 34-S.Perine left guard to CIN 35 for 5 yards (61-J.Redmond). FUMBLES (61-J.Redmond), touched at CIN 47, RECOVERED by MIN-93-J.Allen at CIN 47.",run,Half1,14,2,1.0,5.0,0.0,0.0,,0.0,0.0,0,S.Perine,,
(14:54) 30-C.Brown right guard to CIN 23 for -1 yards (58-J.Greenard).,run,Half2,16,3,1.0,-1.0,0.0,0.0,,0.0,0.0,0,,,
(14:18) (Shotgun) 30-C.Brown right guard to CIN 27 for 4 yards (55-E.Wilson; 58-J.Greenard).,run,Half2,16,3,2.0,4.0,0.0,0.0,,0.0,0.0,0,,,
(:04) (Shotgun) 25-T.Brooks right end to CIN 42 for 7 yards (57-C.Chambliss).,run,Half2,20,3,1.0,7.0,0.0,0.0,,0.0,0.0,0,,,
(14:18) (Shotgun) 25-T.Brooks left end to MIN 29 for 1 yard (90-T.Ingram-Dawkins).,run,Half2,20,4,1.0,1.0,0.0,0.0,,0.0,0.0,0,,,
(11:58) 30-C.Brown right guard to MIN 4 for -3 yards (50-L.Rodriguez).,run,Half2,20,4,1.0,-3.0,0.0,0.0,,0.0,0.0,0,,,
(9:39) (Shotgun) 25-T.Brooks left end to CIN 27 for 1 yard (61-J.Redmond).,run,Half2,22,4,2.0,1.0,0.0,0.0,,0.0,0.0,0,,,
"(5:58) 25-T.Brooks up the middle to CIN 11 for 2 yards (0-I.Pace, 41-K.King).",run,Half2,24,4,1.0,2.0,0.0,0.0,,0.0,0.0,0,,,
(5:22) 25-T.Brooks right end to CIN 17 for 6 yards (0-I.Pace).,run,Half2,24,4,2.0,6.0,0.0,0.0,,0.0,0.0,0,,,
(13:53) 6-J.Browning up the middle to CIN 46 for 2 yards (93-D.Jones).,run,Half1,1,1,3.0,2.0,0.0,0.0,,0.0,0.0,0,,,
(13:18) (Shotgun) 30-C.Brown right guard to 50 for 4 yards (49-A.Singleton).,run,Half1,1,1,1.0,4.0,0.0,0.0,,0.0,0.0,0,,,
(11:15) (Shotgun) 30-C.Brown right guard to DEN 16 for 6 yards (49-A.Singleton; 99-Z.Allen).,run,Half1,1,1,2.0,6.0,0.0,0.0,,0.0,0.0,0,,,
(10:35) (Shotgun) 30-C.Brown left end to DEN 14 for 2 yards (92-D.Tillman).,run,Half1,1,1,1.0,2.0,0.0,0.0,,0.0,0.0,0,,,
(6:48) (Shotgun) 30-C.Brown right guard to CIN 15 for 5 yards (23-J.Barron).,run,Half1,3,1,1.0,5.0,0.0,0.0,,0.0,0.0,0,,,
