desc,play_type,game_half,drive,qtr,down,rushing_yards,first_down_pass,first_down_penalty,receiving_yards,third_down_failed,fourth_down_converted,penalty,fumbled_1_player_name,fumbled_2_player_name,td_player_name
"(8:30) (No Huddle, Shotgun) 10-B.Nix pass short left to 14-C.Sutton to PHI 39 for 4 yards (30-J.Campbell; 27-Q.Mitchell).",pass,Half1,3,1,3.0,,0.0,0.0,4.0,1.0,0.0,0,,,
"(:28) (No Huddle, Shotgun) 10-B.Nix pass incomplete short left to 14-C.Sutton (27-Q.Mitchell).",pass,Half1,11,2,2.0,,0.0,0.0,,0.0,0.0,0,,,
"(:44) (No Huddle, Shotgun) 10-B.Nix pass short right to 14-C.Sutton to PHI 38 for 6 yards (27-Q.Mitchell).",pass,Half2,18,3,3.0,,1.0,0.0,6.0,0.0,0.0,0,,,
(:07) (Shotgun) 10-B.Nix pass short left to 14-C.Sutton to PHI 32 for 6 yards (33-C.DeJean).,pass,Half2,18,3,1.0,,0.0,0.0,6.0,0.0,0.0,0,,,
"(10:36) (No Huddle, Shotgun) 10-B.Nix pass short left to 14-C.Sutton to PHI 40 for 14 yards (27-Q.Mitchell).",pass,Half2,20,4,1.0,,1.0,0.0,14.0,0.0,0.0,0,,,
(8:17) (Shotgun) 10-B.Nix pass short right to 14-C.Sutton to PHI 11 for 34 yards (53-Z.Baun).,pass,Half2,20,4,3.0,,1.0,0.0,34.0,0.0,0.0,0,,,
(3:28) (Shotgun) 10-B.Nix pass short right to 14-C.Sutton to PHI 37 for 16 yards (27-Q.Mitchell).,pass,Half2,22,4,3.0,,1.0,0.0,16.0,0.0,0.0,0,,,
(2:34) (Shotgun) 10-B.Nix pass short middle to 14-C.Sutton to PHI 29 for 12 yards (53-Z.Baun).,pass,Half2,22,4,2.0,,0.0,0.0,12.0,0.0,0.0,0,,,
(4:50) (Shotgun) 10-B.Nix pass short right to 14-C.Sutton to DEN 48 for 17 yards (1-A.Gardner).,pass,Half1,5,1,1.0,,1.0,0.0,17.0,0.0,0.0,0,,,
(1:06) 63-A.Palczewski reported in as eligible. 10-B.Nix pass incomplete short right to 14-C.Sutton (1-A.Gardner).,pass,Half1,5,1,1.0,,0.0,0.0,,0.0,0.0,0,,,
(5:14) (Shotgun) 10-B.Nix pass incomplete short left to 14-C.Sutton.,pass,Half2,20,4,3.0,,0.0,0.0,,1.0,0.0,0,,,
